personId,firstName,lastName,birthdate,lastAttended,country,height,bodyWeight,guard,forward,center,draftYear,draftRound,draftNumber,Full Name
2,Byron,Scott,3/28/1961,Arizona State,USA,76,205,TRUE,FALSE,FALSE,1983,1,4,Byron Scott
3,Grant,Long,3/12/1966,Eastern Michigan,USA,81,3,FALSE,FALSE,FALSE,1988,2,33,Grant Long
7,Dan,Schayes,5/10/1959,Syracuse,USA,83,260,FALSE,FALSE,TRUE,1981,1,13,Dan Schayes
9,Sedale,Threatt,9/10/1961,West Virginia Tech,USA,74,185,TRUE,FALSE,FALSE,1983,6,139,Sedale Threatt
12,Chris,King,7/24/1969,Wake Forest,USA,80,215,FALSE,TRUE,FALSE,1992,2,45,Chris King
15,Eric,Piatkowski,9/30/1970,Nebraska,USA,79,215,TRUE,TRUE,FALSE,1994,1,15,Eric Piatkowski
17,Clyde,Drexler,6/22/1962,Houston,USA,79,222,TRUE,FALSE,FALSE,1983,1,14,Clyde Drexler
21,Greg,Anthony,11/15/1967,UNLV,USA,73,180,TRUE,FALSE,FALSE,1991,1,12,Greg Anthony
22,Rik,Smits,8/23/1966,Marist,USA,88,265,FALSE,FALSE,TRUE,1988,1,2,Rik Smits
23,Dennis,Rodman,5/13/1961,Southeastern Oklahoma State,USA,79,210,FALSE,TRUE,FALSE,1986,2,27,Dennis Rodman
24,Keith,Jennings,11/2/1968,East Tennessee State,USA,67,160,TRUE,FALSE,FALSE,-1,-1,-1,Keith Jennings
26,Luc,Longley,1/19/1969,New Mexico,USA,86,265,FALSE,FALSE,TRUE,1991,1,7,Luc Longley
28,Doug,West,5/27/1967,Villanova,USA,,,TRUE,FALSE,FALSE,1989,2,38,Doug West
29,Jim,McIlvaine,7/30/1972,Marquette,USA,85,240,FALSE,FALSE,TRUE,1994,2,32,Jim McIlvaine
30,Richard,Dumas,5/19/1969,Oklahoma State,USA,79,30,FALSE,TRUE,FALSE,1991,2,46,Richard Dumas
31,Lorenzo,Williams,7/15/1969,Stetson,USA,81,200,FALSE,TRUE,FALSE,-1,-1,-1,Lorenzo Williams
32,Clifford,Rozier,10/31/1972,Louisville,USA,83,245,FALSE,FALSE,TRUE,1994,1,16,Clifford Rozier
35,Eric,Riley,6/2/1970,Michigan,USA,84,245,FALSE,FALSE,TRUE,1993,2,33,Eric Riley
36,Sarunas,Marciulionis,6/13/1964,Statyba,Lithuania,77,200,TRUE,FALSE,FALSE,1987,6,127,Sarunas Marciulionis
37,Greg,Graham,11/26/1970,Indiana,USA,76,174,TRUE,FALSE,FALSE,1993,1,17,Greg Graham
38,Brad,Lohaus,9/29/1964,Iowa,USA,83,230,FALSE,TRUE,TRUE,1987,2,45,Brad Lohaus
41,Anthony,Bonner,6/8/1968,St. Louis,USA,80,230,FALSE,TRUE,FALSE,1990,1,23,Anthony Bonner
42,Monty,Williams,10/8/1971,Notre Dame,USA,80,225,FALSE,TRUE,FALSE,1994,1,24,Monty Williams
43,Chris,Whitney,10/5/1971,Clemson,USA,72,175,TRUE,FALSE,FALSE,1993,2,47,Chris Whitney
45,George,McCloud,5/27/1967,Florida State,USA,80,230,FALSE,TRUE,FALSE,1989,1,7,George McCloud
46,Mike,Peplowski,10/15/1970,Michigan State,USA,82,270,FALSE,FALSE,TRUE,1993,2,52,Mike Peplowski
47,Wayman,Tisdale,6/9/1964,Oklahoma,USA,81,260,FALSE,TRUE,FALSE,1985,1,2,Wayman Tisdale
49,Gheorghe,Muresan,2/14/1971,Pau Orthez,Romania,91,303,FALSE,FALSE,TRUE,1993,2,30,Gheorghe Muresan
51,Mahmoud,Abdul-Rauf,3/9/1969,Louisiana State,USA,73,51,TRUE,FALSE,FALSE,1990,1,3,Mahmoud Abdul-Rauf
52,Micheal,Williams,7/23/1966,Baylor,USA,74,175,TRUE,FALSE,FALSE,1988,2,48,Micheal Williams
53,Mario,Elie,11/26/1963,American International,USA,77,225,TRUE,TRUE,FALSE,1985,7,160,Mario Elie
54,Dickey,Simpkins,4/6/1972,Providence,USA,81,248,FALSE,TRUE,FALSE,1994,1,21,Dickey Simpkins
55,Marty,Conlon,1/19/1968,Providence,USA,82,224,FALSE,FALSE,TRUE,-1,-1,-1,Marty Conlon
56,Gary,Payton,7/23/1968,Oregon State,USA,76,190,TRUE,FALSE,FALSE,1990,1,2,Gary Payton
57,Doug,Christie,5/9/1970,Pepperdine,USA,78,205,TRUE,TRUE,FALSE,1992,1,17,Doug Christie
61,Carl,Herrera,12/14/1966,Houston,USA,,,,,,1990,2,30,Carl Herrera
