playerName,seasonStartYear, salary 
A.C. Green,1990,"1,750,000.00"
A.J. English,1990,"275,000.00"
A.J. Wynder,1990,"30,000.00"
Adrian Caldwell,1990,"275,000.00"
Adrian Dantley,1990,"400,000.00"
Alaa Abdelnaby,1990,"395,000.00"
Alan Bannister,1990,"50,000.00"
Alan Ogg,1990,"130,000.00"
Alec Kessler,1990,"1,600,000.00"
Alex English,1990,"1,500,000.00"
Alexander Volkov,1990,"650,000.00"
Alton Lister,1990,"1,700,000.00"
Alvin Robertson,1990,"870,000.00"
Andre Turner,1990,"110,000.00"
Andrew Lang,1990,"600,000.00"
Andy Toolson,1990,"120,000.00"
Anthony Cook,1990,"370,000.00"
Anthony Frederick,1990,"30,000.00"
Antoine Carr,1990,"610,000.00"
Armen Gilliam,1990,"1,200,000.00"
Avery Johnson,1990,"50,000.00"
Benoit Benjamin,1990,"1,750,000.00"
Bernard King,1990,"1,600,000.00"
Bill Cartwright,1990,"1,100,000.00"
Bill Hanzlik,1990,"510,000.00"
Bill Laimbeer,1990,"1,510,000.00"
Bill Wennington,1990,"700,000.00"
Billy Thompson,1990,"400,000.00"
Bimbo Coles,1990,"290,000.00"
BJ Armstrong,1990,"425,000.00"
Blair Rasmussen,1990,"2,185,000.00"
Blue Edwards,1990,"360,000.00"
Bo Kimble,1990,"950,000.00"
Bob Hansen,1990,"550,000.00"
Bob Thornton,1990,"335,000.00"
Brad Daugherty,1990,"1,320,000.00"
Brad Davis,1990,"600,000.00"
Brad Lohaus,1990,"1,275,000.00"
Brian Oliver,1990,"455,000.00"
Brian Quinnett,1990,"360,000.00"
Brian Shaw,1990,"1,212,000.00"
Buck Johnson,1990,"675,000.00"
Buck Williams,1990,"1,550,000.00"
Byron Irvin,1990,"375,000.00"
Byron Scott,1990,"1,100,000.00"
Cedric Ceballos,1990,"175,000.00"
Charles Barkley,1990,"2,900,000.00"
Charles Jones,1990,"675,000.00"
Charles Oakley,1990,"1,050,000.00"
Charles Smith,1990,"1,000,000.00"
Chris Dudley,1990,"950,000.00"
Chris Morris,1990,"750,000.00"
Chris Mullin,1990,"2,850,000.00"
Chuck Person,1990,"2,150,000.00"
Chucky Brown,1990,"630,000.00"
Cliff Levingston,1990,"750,000.00"
Cliff Robinson,1990,"250,000.00"
Clyde Drexler,1990,"1,180,000.00"
Craig Ehlo,1990,"925,000.00"
Craig Hodges,1990,"600,000.00"
Dale Ellis,1990,"1,250,000.00"
Dan Majerle,1990,"430,000.00"
Dana Barros,1990,"500,000.00"
Danny Ainge,1990,"725,000.00"
Danny Ferry,1990,"2,640,000.00"
Danny Manning,1990,"2,200,000.00"
Danny Schayes,1990,"1,500,000.00"
Danny Young,1990,"450,000.00"
Darnell Valentine,1990,"100,000.00"
Darrell Griffith,1990,"850,000.00"
Darrell Walker,1990,"610,000.00"
Dave Corzine,1990,"300,000.00"
Dave Feitl,1990,"275,000.00"
Dave Greenwood,1990,"650,000.00"
Dave Hoppen,1990,"400,000.00"
Dave Jamerson,1990,"650,000.00"
Dave Popson,1990,"80,000.00"
David Robinson,1990,"2,265,000.00"
David Wingate,1990,"750,000.00"
David Wood,1990,"300,000.00"
Dee Brown,1990,"547,000.00"
Delaney Rudd,1990,"215,000.00"
Dell Curry,1990,"900,000.00"
Dennis Hopson,1990,"915,000.00"
Dennis Rodman,1990,"880,000.00"
Dennis Scott,1990,"1,560,000.00"
Derek Harper,1990,"1,519,000.00"
Derek Smith,1990,"315,000.00"
Derrick Chievous,1990,"525,000.00"
Derrick Coleman,1990,"2,100,000.00"
Derrick Gervin,1990,"155,000.00"
Derrick McKey,1990,"962,000.00"
Detlef Schrempf,1990,"1,160,000.00"
Doc Rivers,1990,"895,000.00"
Dominique Wilkins,1990,"2,065,000.00"
Doug West,1990,"230,000.00"
Drazen Petrovic,1990,"1,200,000.00"
Duane Causwell,1990,"650,000.00"
Duane Ferrell,1990,"125,000.00"
Dwayne Schintzius,1990,"520,000.00"
Ed Nealy,1990,"550,000.00"
Ed Pinckney,1990,"750,000.00"
Eddie Johnson,1990,"1,000,000.00"
Eddie Lee Wilkins,1990,"400,000.00"
Elden Campbell,1990,"575,000.00"
Eric Leckner,1990,"485,000.00"
Fat Lever,1990,"1,519,000.00"
Felton Spencer,1990,"1,070,000.00"
Frank Brickowski,1990,"905,000.00"
Frank Kornet,1990,"225,000.00"
Fred Roberts,1990,"690,000.00"
Gary Grant,1990,"530,000.00"
Gary Leonard,1990,"200,000.00"
Gary Payton,1990,"1,685,000.00"
George McCloud,1990,"940,000.00"
Gerald Glass,1990,"575,000.00"
Gerald Henderson,1990,"125,000.00"
Gerald Paddio,1990,"120,000.00"
Gerald Wilkins,1990,"725,000.00"
Glen Rice,1990,"1,550,000.00"
Grant Long,1990,"300,000.00"
Greg Anderson,1990,"1,365,000.00"
Greg Dreiling,1990,"300,000.00"
Greg Foster,1990,"275,000.00"
Greg Grant,1990,"300,000.00"
Greg Kite,1990,"480,000.00"
Hakeem Olajuwon,1990,"3,175,000.00"
Harvey Grant,1990,"475,000.00"
Haywoode Workman,1990,"120,000.00"
Henry James,1990,"75,000.00"
Herb Williams,1990,"1,000,000.00"
Hersey Hawkins,1990,"1,000,000.00"
Horace Grant,1990,"1,000,000.00"
Hot Rod Williams,1990,"3,785,000.00"
Ian Lockhart,1990,"130,000.00"
Irving Thomas,1990,"120,000.00"
Isiah Thomas,1990,"2,720,000.00"
J.R. Reid,1990,"1,250,000.00"
Jack Haley,1990,"360,000.00"
Jack Sikma,1990,"1,600,000.00"
James Donaldson,1990,"880,000.00"
James Edwards,1990,"935,000.00"
James Worthy,1990,"1,600,000.00"
Jay Humphries,1990,"650,000.00"
Jayson Williams,1990,"500,000.00"
Jeff Grayer,1990,"605,000.00"
Jeff Hornacek,1990,"1,100,000.00"
Jeff Malone,1990,"915,000.00"
Jeff Martin,1990,"210,000.00"
Jeff Turner,1990,"410,000.00"
Jerome Kersey,1990,"550,000.00"
Jerome Lane,1990,"500,000.00"
Jerrod Mustaf,1990,"565,000.00"
Jerry Reynolds,1990,"450,000.00"
Jim Grandholm,1990,"115,000.00"
Jim Petersen,1990,"1,235,000.00"
Joe Barry Carroll,1990,"350,000.00"
Joe Dumars,1990,"1,035,000.00"
Joe Kleine,1990,"850,000.00"
Joe Wolf,1990,"990,000.00"
John Bagley,1990,"550,000.00"
John Battle,1990,"590,000.00"
John Long,1990,"150,000.00"
John Morton,1990,"350,000.00"
John Paxson,1990,"385,000.00"
John Salley,1990,"575,000.00"
John Shasky,1990,"150,000.00"
John Starks,1990,"120,000.00"
John Stockton,1990,"2,000,000.00"
John Williams,1990,"1,000,000.00"
Johnny Dawkins,1990,"1,500,000.00"
Johnny Newman,1990,"1,200,000.00"
Jon Koncak,1990,"1,550,000.00"
Jon Sundvold,1990,"335,000.00"
Jud Buechler,1990,"225,000.00"
Karl Malone,1990,"2,260,000.00"
Keith Askins,1990,"150,000.00"
Kelly Tripucka,1990,"1,000,000.00"
Kelvin Upshaw,1990,"30,000.00"
Ken Bannister,1990,"400,000.00"
Ken Norman,1990,"1,050,000.00"
Kendall Gill,1990,"1,500,000.00"
Kennard Winchester,1990,"120,000.00"
Kenny Battle,1990,"350,000.00"
Kenny Gattison,1990,"355,000.00"
Kenny Payne,1990,"400,000.00"
Kenny Smith,1990,"700,000.00"
Kenny Walker,1990,"875,000.00"
Kenny Williams,1990,"175,000.00"
Kevin Duckworth,1990,"1,710,000.00"
Kevin Edwards,1990,"425,000.00"
Kevin Gamble,1990,"375,000.00"
Kevin Johnson,1990,"1,750,000.00"
Kevin McHale,1990,"1,400,000.00"
Kevin Pritchard,1990,"185,000.00"
